bit,coefficient
394,0.24223980811199608
395,-0.44017100683439014
396,0.12285065059669764
397,-0.4010737819285691
398,-0.37405694552787233
399,0.41527548856020924
400,0.22896566173539945
401,-0.4254414546041604
402,-0.6216258570239162
403,0.054520173527114774
404,-0.1344172744570553
405,-0.8010817644173
406,-0.6514261058881348
407,-0.2618421065980122
408,1.3337241286733168
409,0.4418771993904229
410,-0.5608859403187433
411,-0.6967279127290075
412,0.11428043897978767
413,0.009507641094981825
414,0.5881570540723319
415,-0.2968913529603611
416,-0.1518415914956572
417,-0.06035910016754395
418,-0.415162699860182
419,-0.42423114609130846
420,-0.17726773408407
421,-1.0861562806253076
422,0.07554765432840682
423,-0.16270658720919684
424,0.4151639723402718
425,0.1407031931366763
426,-0.5088716501299114
427,-0.6557226146098232
428,-0.2711385980982585
429,0.5254118112396413
430,-0.2138891165045263
431,-0.8707407132143683
432,-0.011238977382973206
433,-0.0011485661744303488
434,0.7410034368142224
435,-1.158807111471982
436,0.682800691431426
437,0.16368142503342148
438,0.2857417599081784
439,-0.8215500518629221
440,-0.36616816478780784
441,-0.33115978125635387
442,0.016933350905721494
443,-0.7444135424521846
444,0.14409307922142708
445,-0.29218568212650536
446,0.6531346400573453
447,0.049488316807759204
448,-0.1232122383278568
449,0.038742333732022856
450,-0.4525445421722311
451,0.32825108189002244
452,-0.18130142375430103
453,-0.6111844668014575
454,0.33211900683761075
455,0.968539699420547
456,-0.13894949852445013
457,0.46973606575974736
458,0.6345772603636038
459,-0.07700546959269586
460,0.8493780292851116
461,0.4401223598355556
462,0.22091287957410613
463,0.108544923660197
464,0.17745353267928846
465,-0.44779644016507086
466,-0.8693388860510368
467,-0.46456946499303786
468,-2.3076394211162765
469,0.39059570208237276
470,-0.3357525119152655
471,0.40650694384737457
472,-0.18682947602550465
473,0.2430012609054287
474,0.01468977400676718
475,0.6021096942028611
476,-1.017881937023135
477,0.45634426397547667
478,-0.10888880322344215
479,-0.5589657903482887
480,0.6869470864759575
481,0.06734969875543136
482,0.08471887936763361
483,-0.9407629131970395
484,-0.7943969337485846
485,0.04515317174006113
486,0.43860001268699217
487,-0.6416350393399615
488,-0.1886379009467651
489,1.133881635032241
490,-0.1995238681549007
491,-0.19133639118526097
492,0.017516609406842326
493,-0.4429680380639479
494,0.19431840440359874
495,0.050517070041043916
